date,clothing,coffee,cosmetics,dessert,education,food,fuel,health,market & shopping,money_transfer,other,subscriptions,transportation,travel,total_spent,log_total_spent,phase,weekday,is_weekend
2024-05-06,0.0,0.0,0.0,0.0,208.0,451.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,668.0,6.505784060128229,Menstruation,0,0
2024-05-07,0.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,6.0063531596017325,Menstruation,1,0
2024-05-08,0.0,0.0,0.0,0.0,133.0,140.0,0.0,0.0,0.0,184.43,0.0,0.0,0.0,0.0,457.43,6.127807608285275,Menstruation,2,0
2024-05-09,0.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,6.431331081933479,Menstruation,3,0
2024-05-10,0.0,200.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,5.932245187448011,Menstruation,4,0
2024-05-11,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,203.0,5.318119993844216,Menstruation,5,1
2024-05-12,0.0,0.0,264.42,0.0,0.0,0.0,0.0,0.0,692.39,214.43,1229.0,0.0,0.0,0.0,2400.24,7.783740549576438,Follicular,6,1
2024-05-13,0.0,0.0,1004.82,0.0,0.0,105.0,0.0,0.0,0.0,0.0,4550.0,0.0,0.0,0.0,5659.82,8.641324037028756,Follicular,0,0
2024-05-14,0.0,0.0,0.0,0.0,500.0,190.0,0.0,0.0,0.0,154.43,0.0,0.0,0.0,0.0,844.4300000000001,6.739845373663468,Follicular,1,0
2024-05-15,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,84.43,0.0,0.0,0.0,0.0,99.43,4.609460967405248,Follicular,2,0
2024-05-16,0.0,250.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,6.042632833682381,Follicular,3,0
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,258.86,930.0,0.0,0.0,20.0,2198.86,7.696149000957892,Follicular,4,0
2024-05-18,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,1615.0,0.0,0.0,0.0,2315.0,7.7475968386928855,Follicular,5,1
2024-05-19,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,104.43,0.0,0.0,0.0,0.0,434.43,6.0763340485857364,Follicular,6,1
2024-05-20,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,146.93,285.0,0.0,0.0,0.0,550.9300000000001,6.313421226641623,Follicular,0,0
2024-05-21,0.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,292.0,5.680172609017068,Ovulation,1,0
2024-05-22,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,74.0,4.31748811353631,Ovulation,2,0
2024-05-23,0.0,33.0,0.0,0.0,0.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,6.030685260261263,Luteal,3,0
2024-05-24,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,5.062595033026967,Luteal,4,0
2024-05-25,0.0,0.0,0.0,0.0,0.0,905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,6.80903930604298,Luteal,5,1
2024-05-26,0.0,0.0,0.0,0.0,60.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.0,6.626717749249025,Luteal,6,1
2024-05-27,0.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,229.43,0.0,32.99,0.0,0.0,554.4200000000001,6.319724584307175,Luteal,0,0
2024-05-28,0.0,174.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,6.016157159698354,Luteal,1,0
2024-05-29,0.0,250.0,0.0,0.0,0.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.0,6.659293919683638,Luteal,2,0
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,550.0,6.311734809152915,Luteal,3,0
2024-05-31,0.0,115.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,6.19644412779452,Luteal,4,0
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.43,0.0,0.0,0.0,0.0,384.43,5.954359594154741,Luteal,5,1
2024-06-02,0.0,230.0,0.0,0.0,0.0,489.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0,723.43,6.585385138735395,Luteal,6,1
2024-06-03,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,94.43,0.0,0.0,0.0,0.0,169.43,5.138324655237145,Luteal,0,0
2024-06-04,0.0,103.0,0.0,0.0,110.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,6.401917196727186,Luteal,1,0
2024-06-05,0.0,0.0,0.0,0.0,40.0,407.0,0.0,0.0,0.0,0.0,305.0,0.0,0.0,0.0,752.0,6.6240652277998935,Luteal,2,0
2024-06-06,0.0,120.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,5.583496308781699,Luteal,3,0
2024-06-07,0.0,200.0,0.0,0.0,0.0,170.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.0,6.634633357861686,Luteal,4,0
2024-06-08,4090.01,0.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4405.01,8.390724796992032,Luteal,5,1
2024-06-09,0.0,0.0,0.0,0.0,0.0,660.0,40.0,0.0,0.0,0.0,1357.5,0.0,0.0,0.0,2057.5,7.629732841209959,Unknown,6,1
2024-06-10,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,6.621405651764134,Unknown,0,0
2024-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,0.0,333.0,5.8111409929767,Menstruation,2,0
2024-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1709.99,0.0,1709.99,7.444827429339755,Menstruation,3,0
2024-06-15,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,3650.0,8.202756381655638,Menstruation,5,1
2024-06-16,0.0,0.0,0.0,0.0,0.0,483.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.35,6.182807785872394,Menstruation,6,1
2024-06-17,0.0,0.0,0.0,85.0,0.0,75.0,66.0,0.0,15.0,0.0,40.0,0.0,0.0,0.0,281.0,5.641907070938114,Menstruation,0,0
2024-06-18,2858.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.08,0.0,0.0,0.0,3118.0299999999997,8.045277335029004,Menstruation,1,0
2024-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0,0.0,0.0,0.0,585.0,6.373319789577012,Follicular,2,0
2024-06-20,0.0,0.0,658.5,0.0,0.0,230.35,0.0,1464.0,10.75,0.0,1610.23,0.0,0.0,0.0,3973.83,8.287737258878288,Follicular,3,0
2024-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,2.3978952727983707,Follicular,4,0
2024-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,3584.0,8.184513753033722,Follicular,1,0
2024-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.99,0.0,0.0,32.99,3.5260663637080247,Follicular,2,0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.66,0.0,516.66,6.249318656097587,Luteal,0,0
2024-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9220.02,9220.02,9.12924093949894,Luteal,1,0
2024-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.43,0.0,0.0,0.0,0.0,304.43,5.721720619787214,Follicular,5,1
2024-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99,0.0,0.0,59.99,4.110709916308365,Unknown,4,0
2024-07-31,1400.0,0.0,0.0,0.0,0.0,199.0,0.0,506.0,0.0,0.0,3700.0,0.0,0.0,0.0,5805.0,8.666647144584575,Unknown,2,0
2024-08-04,0.0,175.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,1295.0,7.16703787691222,Unknown,6,1
2024-08-05,974.9,0.0,166.9,0.0,0.0,0.0,0.0,0.0,180.9,0.0,1105.46,0.0,0.0,0.0,2428.16,7.795300797561486,Unknown,0,0
2024-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,4000.0,8.294299608857235,Unknown,1,0
2024-08-07,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,283.58,0.0,0.0,0.0,0.0,0.0,1783.58,7.486938372410089,Unknown,2,0
2024-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,0.0,0.0,0.0,515.0,6.246106765481563,Unknown,4,0
2024-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,260.0,5.564520407322694,Unknown,5,1
2024-08-12,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,5.41610040220442,Unknown,0,0
2024-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,70.0,4.2626798770413155,Unknown,1,0
2024-08-14,0.0,0.0,0.0,0.0,0.0,0.0,2135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2135.0,7.666690200080086,Unknown,2,0
2024-08-15,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5636.0,135.0,6031.0,8.704833909687792,Unknown,3,0
2024-08-16,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,3015.0,8.011686729127847,Unknown,4,0
