date,Açıklama,Kategori,İşlem Tutarı*,Tutar Aralığı
2025-04-23 20:38:45,FLYPEGASUS PGS364236639 ISTANBUL 6233,transportation,-2300.0,[2000-5000]
2025-04-23 18:54:59,7036 ISTANBUL SABANCI UNIISTANBUL 6233,education,-168.69,[100-500]
2025-04-22 19:02:35,EATALY-ZORLU YAPI YATIRIMISTANBUL 6233,food,-125.0,[100-500]
2025-04-22 18:54:51,EATALY-ZORLU YAPI YATIRIMISTANBUL 6233,food,-594.0,[500-1000]
2025-04-22 16:21:12,GUR-SEL TURIZM ISTANBUL 6233,transportation,-150.0,[100-500]
2025-04-21 20:26:56,PAYTR/MATIK ISTANBUL 6233,other,-32.0,[0-100]
2025-04-21 20:06:37,MONEYPAY/MIGROSONE ISTANBUL 6233,market & shopping,-1293.21,[1000-2000]
2025-04-21 11:52:52,KUCUK EV SABANCI UNIVER ISTANBUL 6233,food,-166.0,[100-500]
2025-04-20 20:54:10,INTIBA ISTANBUL 6233,food,-550.0,[500-1000]
2025-04-19 21:12:34,BILETINIAL BILET BASIM VEISTANBUL 6233,travel,-471.0,[100-500]
2025-04-19 19:21:57,MIMOZA RESTAURANT ISTANBUL 6233,food,-1500.0,[1000-2000]
2025-04-19 17:25:45,NOMU PAY ODE*WWW.ISTANB ISTANBUL 6233,other,-102.5,[100-500]
2025-04-19 16:45:59,ADALAR VAKFI ISTANBUL 6233,other,-100.0,[0-100]
2025-04-19 16:11:47,ADALAR VAKFI ISTANBUL 6233,other,-120.0,[100-500]
2025-04-19 15:39:01,BUYUKADA YASAM MERKE ISTANBUL 6233,other,-310.0,[100-500]
2025-04-19 13:23:05,BELBIM KART KABUL SATIS ISTANBUL 6233,market & shopping,-110.0,[100-500]
2025-04-19 12:18:54,NOMU PAY ODE*WWW.ISTANB ISTANBUL 6233,other,-51.0,[0-100]
2025-04-18 19:54:43,YEMEKSEPETI MARKET ISTANBUL 6233,market & shopping,-1175.85,[1000-2000]
2025-04-18 16:43:40,7036 ISTANBUL SABANCI UNIISTANBUL 6233,education,-140.0,[100-500]
2025-04-18 14:07:04,SBX IST SABANCI UNIVERS ISTANBUL 6233,food,-160.0,[100-500]
2025-04-17 11:18:15,SBX IST SABANCI UNIVERS ISTANBUL 6233,food,-247.0,[100-500]
2025-04-17 01:28:24,BEYOGLU KOKOREC KOCAELI 6233,food,-100.0,[0-100]
2025-04-16 21:21:04,PIZZA RESTAURANTLARI ISTANBUL 6233,food,-135.0,[100-500]
2025-04-16 10:23:17,PAYTR/MATIK ISTANBUL 6233,other,-15.0,[0-100]
2025-04-16 10:19:05,SATI KARGI ISTANBUL 6233,other,-50.0,[0-100]
2025-04-15 22:17:04,PAYTR/MATIK ISTANBUL 6233,other,-20.0,[0-100]
2025-04-15 22:08:03,PAYTR/MATIK ISTANBUL 6233,other,-25.0,[0-100]
2025-04-14 22:48:19,GOETHE-INSTITUT 6233,education,-9900.0,[5000+]
2025-04-14 16:58:06,PAYTR /MATIK ISTANBUL 6233,other,-18.0,[0-100]
2025-04-14 15:14:49,SABANCI UNIVERSITE ISTANBUL 6233,education,-500.0,[100-500]
2025-04-14 14:08:28,HOMER KITAPEVI ISTANBUL 6233,education,-152.0,[100-500]
2025-04-14 13:42:37,IYZICO*UNICOURSE TEKNOL ISTANBUL 6233,market & shopping,-1599.2,[1000-2000]
2025-04-13 20:05:04,MIGROS KURTKOY LENS AVM ISTANBUL 6233,market & shopping,-578.8,[500-1000]
2025-04-13 19:01:20,KAHVE DUNYASI ISTANBUL ISTANBUL 6233,dessert,-150.0,[100-500]
2025-04-13 18:02:55,KIRMIZI KEDI LENS ISTAN ISTANBUL 6233,other,-375.5,[100-500]
2025-04-13 16:40:40,HOOK RESTORANT ISTANBUL 6233,food,-510.0,[500-1000]
2025-04-13 10:47:37,PAYTR /MATIK ISTANBUL 6233,other,-15.0,[0-100]
2025-04-13 10:11:40,SBX IST SABANCI UNIVERS ISTANBUL 6233,food,-145.0,[100-500]
2025-04-12 18:43:18,PAYTR /MATIK ISTANBUL 6233,other,-34.0,[0-100]
2025-04-12 18:39:25,YEMEKSEPETI ISTANBUL 6233,food,-320.0,[100-500]
2025-04-12 13:15:21,SBX IST SABANCI UNIVERS ISTANBUL 6233,food,-224.0,[100-500]
2025-04-12 13:12:32,SBX IST SABANCI UNIVERS ISTANBUL 6233,food,-305.0,[100-500]
2025-04-12 13:11:33,SBX IST SABANCI UNIVERS ISTANBUL 6233,food,-305.0,[100-500]
2025-04-11 22:38:38,YEMEKSEPETI ISTANBUL 6233,food,-260.0,[100-500]
2025-04-11 12:47:46,SABANCI COFFY ISTANBUL 6233,coffee,-135.0,[100-500]
2025-04-11 12:37:03,PAYTR /MATIK ISTANBUL 6233,other,-18.0,[0-100]
2025-04-11 12:36:11,PAYTR /MATIK ISTANBUL 6233,other,-18.0,[0-100]
2025-04-11 00:34:16,SEVIMLI PILAV ISTANBUL 6233,food,-90.0,[0-100]
2025-04-10 20:12:23,HMR RESTORAN GIDA ISTANBUL 6233,food,-145.0,[100-500]
2025-04-10 18:21:58,IYZICO*UDEMY.COM ISTANBUL 6233,market & shopping,-129.99,[100-500]
2025-04-10 17:56:06,PIZZA RESTAURANTLARI ISTANBUL 6233,food,-80.0,[0-100]
2025-04-10 01:09:41,YEMEKSEPETI ISTANBUL 6233,food,-579.8,[500-1000]
2025-04-10 00:28:18,YEMEKSEPETI ISTANBUL 6233,food,-455.0,[100-500]
2025-04-09 21:43:14,"ÜCRET H2504496955844 220,00 TRY ÜZ.",money_transfer,-6.39,[0-100]
2025-04-09 21:43:14,KARYA SERT*TR870006701000000035800068*DOĞA KURTOĞLU TARAFINDAN AKTARILAN*2291156146 H2504496955844*FAST,money_transfer,-220.0,[100-500]
2025-04-08 17:41:32,KUCUK EV SABANCI UNIVER ISTANBUL 6233,food,-215.0,[100-500]
2025-04-08 17:05:45,PAYTR /MATIK ISTANBUL 6233,other,-20.0,[0-100]
2025-04-08 17:04:31,PAYTR /MATIK ISTANBUL 6233,other,-18.0,[0-100]
2025-04-08 11:21:48,"ÜCRET H2504489609775 250,00 TRY ÜZ.",money_transfer,-6.39,[0-100]
2025-04-08 11:21:48,KEREM SIRTIKIZIL*TR050004600115888000242620*DOĞA KURTOĞLU TARAFINDAN AKTARILAN*2286990380 H2504489609775*FAST,money_transfer,-250.0,[100-500]
2025-04-07 22:15:20,HMR RESTORAN GIDA ISTANBUL 6233,food,-355.0,[100-500]
2025-04-07 17:36:14,SABANCI UNIVERSITE ISTANBUL 6233,education,-500.0,[100-500]
2025-04-06 17:45:08,PAYTR /MATIK ISTANBUL 6233,other,-20.0,[0-100]
2025-04-06 12:21:18,KUCUK EV SABANCI UNIVER ISTANBUL 6233,food,-330.0,[100-500]
2025-04-05 21:23:41,PAYTR /MATIK ISTANBUL 6233,other,-20.0,[0-100]
2025-04-05 17:49:55,KUCUK EV SABANCI UNIVER ISTANBUL 6233,food,-152.5,[100-500]
2025-04-03 22:43:52,DERYA TAS CESME MARK IZMIR 6233,other,-595.0,[500-1000]
2025-04-03 18:16:40,SBX IZM GUZELBAHCE YELK IZMIR 6233,food,-294.0,[100-500]
2025-03-29 14:18:01,WWW.TRENDYOL.COM ISTANBUL 6233,clothing,-583.52,[500-1000]
2025-03-28 17:47:54,YEMEKSEPETI ISTANBUL 6233,food,-205.99,[100-500]
2025-03-28 14:12:46,KUCUK EV SABANCI UNIVER ISTANBUL 6233,food,-253.0,[100-500]
2025-03-27 19:33:14,PAYTR /MATIK ISTANBUL 6233,other,-16.0,[0-100]
2025-03-27 18:15:45,IYZICO*UDEMY.COM ISTANBUL 6233,market & shopping,-769.98,[500-1000]
2025-03-27 16:45:33,YEMEKSEPETI ISTANBUL 6233,food,-228.99,[100-500]
2025-03-27 12:14:45,SBX IST SABANCI UNIVERS ISTANBUL 6233,food,-65.0,[0-100]
2025-03-26 22:48:01,SPOTIFY 6233,subscriptions,-59.99,[0-100]
2025-03-26 17:03:41,IYZICO*UNICOURSE TEKNOL ISTANBUL 6233,market & shopping,-1999.0,[1000-2000]
2025-03-26 15:15:33,PIZZA RESTAURANTLARI ISTANBUL 6233,food,-80.0,[0-100]
2025-03-25 22:48:20,LINKEDINPRE *03416033 6233,other,-1708.36,[1000-2000]
2025-03-25 18:02:33,SABANCI UNIVERSITE ISTANBUL 6233,education,-500.0,[100-500]
2025-03-25 15:54:23,PIZZA RESTAURANTLARI ISTANBUL 6233,food,-70.0,[0-100]
2025-03-24 18:00:32,SABANCI UNIVERSITESI ISTANBUL 6233,education,-100.0,[0-100]
2025-03-24 12:52:22,PIZZA RESTAURANTLARI ISTANBUL 6233,food,-85.0,[0-100]
2025-03-24 00:50:29,SARIYER METRO BOREKC ISTANBUL 6233,other,-40.0,[0-100]
2025-03-23 23:23:04,BELBIM ELEKTRONIK PARA ISTANBUL 6233,market & shopping,-51.75,[0-100]
2025-03-23 19:28:38,"ÜCRET H2503413592191 420,00 TRY ÜZ.",money_transfer,-6.39,[0-100]
2025-03-23 19:28:38,DENİZ DEMİRKOL*TR570004600256888000126285*KEREM DOĞA*2247910473 H2503413592191*FAST,money_transfer,-420.0,[100-500]
2025-03-23 12:47:59,KUCUK EV SABANCI UNIVER ISTANBUL 6233,food,-175.0,[100-500]
2025-03-23 02:28:32,BEYOGLU KOKOREC KOCAELI 6233,food,-255.0,[100-500]
2025-03-22 18:43:14,SIMIT SARAYI ISTANBUL 6233,food,-120.0,[100-500]
2025-03-22 17:14:47,BELBIM ELEKTRONIK PARA ISTANBUL 6233,market & shopping,-51.75,[0-100]
2025-03-22 16:38:14,"ÜCRET H2503409122481 150,00 TRY ÜZ.",money_transfer,-6.39,[0-100]
2025-03-22 16:38:14,KEREM SIRTIKIZIL*TR050004600115888000242620*DOĞA KURTOĞLU TARAFINDAN AKTARILAN*2246070126 H2503409122481*FAST,money_transfer,-150.0,[100-500]
2025-03-22 12:18:27,TAMI ODEME 2*TAMI ODEME 2ISTANBUL 6233,other,-120.0,[100-500]
2025-03-22 11:50:24,KUCUK EV SABANCI UNIVER ISTANBUL 6233,food,-140.0,[100-500]
2025-03-21 14:25:39,KUCUK EV SABANCI UNIVER ISTANBUL 6233,food,-286.0,[100-500]
2025-03-21 13:41:06,"ÜCRET H2503404377622 100,00 TRY ÜZ.",money_transfer,-6.39,[0-100]
2025-03-21 13:41:06,UMUT CAN ÇUBUKÇU*TR140004600348888000256804*DOĞA KURTOĞLU TARAFINDAN AKTARILAN*2243263310 H2503404377622*FAST,money_transfer,-100.0,[0-100]
2025-03-21 13:32:07,PAYTR /MATIK ISTANBUL 6233,other,-15.0,[0-100]
2025-03-20 22:01:12,YEMEKSEPETI ISTANBUL 6233,food,-669.8,[500-1000]
2025-03-20 14:57:40,TAMI ODEME 2*TAMI ODEME 2ISTANBUL 6233,other,-250.0,[100-500]
2025-03-20 14:26:29,PAYTR /MATIK ISTANBUL 6233,other,-18.0,[0-100]
2025-03-20 10:26:38,SBX IST SABANCI UNIVERS ISTANBUL 6233,food,-145.0,[100-500]
2025-03-19 15:33:41,PAYTR /MATIK ISTANBUL 6233,other,-26.0,[0-100]
2025-03-19 10:46:05,PAYTR /MATIK ISTANBUL 6233,other,-15.0,[0-100]
2025-03-19 10:40:28,SIMIT SARAYI SABANCI UNIVISTANBUL 6233,food,-100.0,[0-100]
